"Plot Title: 10998654"
"#","Date Time, GMT+05:00","Temp, °F (LGR S/N: 10998654, SEN S/N: 10998654)","Intensity, lum/ft² (LGR S/N: 10998654, SEN S/N: 10998654)","Coupler Detached (LGR S/N: 10998654)","End Of File (LGR S/N: 10998654)"
114,01/29/17 06:14:11 AM,82.864,0.0,,
115,01/29/17 07:14:11 AM,82.508,33.0,,
116,01/29/17 08:14:11 AM,82.686,72.0,,
117,01/29/17 09:14:11 AM,82.686,136.0,,
118,01/29/17 10:14:11 AM,82.864,272.0,,
119,01/29/17 11:14:11 AM,83.043,384.0,,
120,01/29/17 12:14:11 PM,82.864,80.0,,
121,01/29/17 01:14:11 PM,83.221,464.0,,
122,01/29/17 02:14:11 PM,83.221,368.0,,
123,01/29/17 03:14:11 PM,83.399,272.0,,
124,01/29/17 04:14:11 PM,83.221,128.0,,
125,01/29/17 05:14:11 PM,83.221,42.0,,
126,01/29/17 06:14:11 PM,83.043,3.0,,
127,01/29/17 07:14:11 PM,83.221,0.0,,
128,01/29/17 08:14:11 PM,83.221,0.0,,
129,01/29/17 09:14:11 PM,83.221,0.0,,
130,01/29/17 10:14:11 PM,83.221,0.0,,
131,01/29/17 11:14:11 PM,83.043,0.0,,
132,01/30/17 12:14:11 AM,83.221,0.0,,
133,01/30/17 01:14:11 AM,83.043,0.0,,
134,01/30/17 02:14:11 AM,83.043,0.0,,
135,01/30/17 03:14:11 AM,83.043,0.0,,
136,01/30/17 04:14:11 AM,82.864,0.0,,
137,01/30/17 05:14:11 AM,82.864,0.0,,
138,01/30/17 06:14:11 AM,82.864,0.0,,
139,01/30/17 07:14:11 AM,82.864,27.0,,
140,01/30/17 08:14:11 AM,82.864,184.0,,
141,01/30/17 09:14:11 AM,83.043,288.0,,
142,01/30/17 10:14:11 AM,83.043,192.0,,
143,01/30/17 11:14:11 AM,83.221,200.0,,
144,01/30/17 12:14:11 PM,83.221,176.0,,
145,01/30/17 01:14:11 PM,83.043,256.0,,
146,01/30/17 02:14:11 PM,83.043,248.0,,
147,01/30/17 03:14:11 PM,82.864,208.0,,
148,01/30/17 04:14:11 PM,83.221,224.0,,
149,01/30/17 05:14:11 PM,83.221,65.0,,
150,01/30/17 06:14:11 PM,83.221,3.0,,
151,01/30/17 07:14:11 PM,83.221,0.0,,
152,01/30/17 08:14:11 PM,83.043,0.0,,
153,01/30/17 09:14:11 PM,83.221,0.0,,
154,01/30/17 10:14:11 PM,83.043,0.0,,
155,01/30/17 11:14:11 PM,83.043,0.0,,
156,01/31/17 12:14:11 AM,83.043,0.0,,
157,01/31/17 01:14:11 AM,82.864,0.0,,
158,01/31/17 02:14:11 AM,82.864,0.0,,
159,01/31/17 03:14:11 AM,82.864,0.0,,
160,01/31/17 04:14:11 AM,82.864,0.0,,
161,01/31/17 05:14:11 AM,82.864,0.0,,
162,01/31/17 06:14:11 AM,82.864,0.0,,
163,01/31/17 07:14:11 AM,82.864,52.0,,
164,01/31/17 08:14:11 AM,82.864,176.0,,
165,01/31/17 09:14:11 AM,82.864,98.0,,
166,01/31/17 10:14:11 AM,83.043,512.0,,
167,01/31/17 11:14:11 AM,83.221,576.0,,
168,01/31/17 12:14:11 PM,83.221,576.0,,
169,01/31/17 01:14:11 PM,82.152,480.0,,
170,01/31/17 02:14:11 PM,83.043,448.0,,
171,01/31/17 03:14:11 PM,82.330,304.0,,
172,01/31/17 04:14:11 PM,82.686,152.0,,
173,01/31/17 05:14:11 PM,82.686,60.0,,
174,01/31/17 06:14:11 PM,82.508,4.0,,
175,01/31/17 07:14:11 PM,82.508,0.0,,
