#	"Date Time, GMT+05:00"		"Temp, °C (LGR S/N: 20046742, SEN S/N: 20046742)"	"Intensity, Lux (LGR S/N: 20046742, SEN S/N: 20046742)"									
99	01/22/17	05:07:00	27.37	0									22/01/2017
100	01/22/17	05:17:00	27.37	0									22/01/2017
101	01/22/17	05:27:00	27.37	0									22/01/2017
102	01/22/17	05:37:00	27.37	0									22/01/2017
103	01/22/17	05:47:00	27.37	0									22/01/2017
104	01/22/17	05:57:00	27.37	0									22/01/2017
105	01/22/17	06:07:00	27.37	0									22/01/2017
106	01/22/17	06:17:00	27.37	0									22/01/2017
107	01/22/17	06:27:00	27.37	0									22/01/2017
108	01/22/17	06:37:00	27.37	21.5									22/01/2017
109	01/22/17	06:47:00	27.37	43.1									22/01/2017
110	01/22/17	06:57:00	27.37	86.1									22/01/2017
111	01/22/17	07:07:00	27.37	96.9									22/01/2017
112	01/22/17	07:17:00	27.37	118.4									22/01/2017
113	01/22/17	07:27:00	27.37	183									22/01/2017
114	01/22/17	07:37:00	27.37	226									22/01/2017
115	01/22/17	07:47:00	27.37	301.4									22/01/2017
116	01/22/17	07:57:00	27.37	441.3									22/01/2017
117	01/22/17	08:07:00	27.37	376.7									22/01/2017
118	01/22/17	08:17:00	27.37	441.3									22/01/2017
119	01/22/17	08:27:00	27.37	495.1									22/01/2017
120	01/22/17	08:37:00	27.468	602.8									22/01/2017
121	01/22/17	08:47:00	27.468	699.7									22/01/2017
122	01/22/17	08:57:00	27.468	807.3									22/01/2017
123	01/22/17	09:07:00	27.468	1033.3									22/01/2017
124	01/22/17	09:17:00	27.468	1054.9									22/01/2017
125	01/22/17	09:27:00	27.468	1130.2									22/01/2017
126	01/22/17	09:37:00	27.468	1054.9									22/01/2017
127	01/22/17	09:47:00	27.468	1334.7									22/01/2017
128	01/22/17	09:57:00	27.468	1259.4									22/01/2017
129	01/22/17	10:07:00	27.468	1377.8									22/01/2017
130	01/22/17	10:17:00	27.468	1302.4									22/01/2017
131	01/22/17	10:27:00	27.468	1356.3									22/01/2017
132	01/22/17	10:37:00	27.567	1463.9									22/01/2017
133	01/22/17	10:47:00	27.567	1550									22/01/2017
134	01/22/17	10:57:00	27.567	1722.2									22/01/2017
135	01/22/17	11:07:00	27.567	1722.2									22/01/2017
136	01/22/17	11:17:00	27.567	1894.5									22/01/2017
137	01/22/17	11:27:00	27.567	2325									22/01/2017
138	01/22/17	11:37:00	27.567	2497.2									22/01/2017
139	01/22/17	11:47:00	27.567	2497.2									22/01/2017
140	01/22/17	11:57:00	27.567	2927.8									22/01/2017
141	01/22/17	12:07:00	27.567	3100									22/01/2017
142	01/22/17	12:17:00	27.567	807.3									22/01/2017
143	01/22/17	12:27:00	27.567	2411.1									22/01/2017
144	01/22/17	12:37:00	27.567	2755.6									22/01/2017
145	01/22/17	12:47:00	27.567	2583.4									22/01/2017
146	01/22/17	12:57:00	27.567	2497.2									22/01/2017
147	01/22/17	13:07:00	27.567	2238.9									22/01/2017
148	01/22/17	13:17:00	27.567	2411.1									22/01/2017
149	01/22/17	13:27:00	27.567	2152.8									22/01/2017
150	01/22/17	13:37:00	27.567	1636.1									22/01/2017
151	01/22/17	13:47:00	27.567	1636.1									22/01/2017
152	01/22/17	13:57:00	27.567	1808.3									22/01/2017
153	01/22/17	14:07:00	27.567	1722.2									22/01/2017
154	01/22/17	14:17:00	27.567	1463.9									22/01/2017
155	01/22/17	14:27:00	27.567	624.3									22/01/2017
156	01/22/17	14:37:00	27.567	1636.1									22/01/2017
157	01/22/17	14:47:00	27.567	904.2									22/01/2017
158	01/22/17	14:57:00	27.567	1463.9									22/01/2017
159	01/22/17	15:07:00	27.567	1367									22/01/2017
160	01/22/17	15:17:00	27.567	1248.6									22/01/2017
161	01/22/17	15:27:00	27.567	1151.7									22/01/2017
162	01/22/17	15:37:00	27.567	893.4									22/01/2017
163	01/22/17	15:47:00	27.567	764.2									22/01/2017
164	01/22/17	15:57:00	27.468	764.2									22/01/2017
165	01/22/17	16:07:00	27.567	635.1									22/01/2017
166	01/22/17	16:17:00	27.567	516.7									22/01/2017
167	01/22/17	16:27:00	27.468	301.4									22/01/2017
168	01/22/17	16:37:00	27.468	376.7									22/01/2017
169	01/22/17	16:47:00	27.468	258.3									22/01/2017
170	01/22/17	16:57:00	27.468	269.1									22/01/2017
171	01/22/17	17:07:00	27.468	226									22/01/2017
