Plot Title: 20051877,,,,
#,"Date Time, GMT+05:00","Temp, ¡C (LGR S/N: 20051877, SEN S/N: 20051877)","Intensity, Lux (LGR S/N: 20051877, SEN S/N: 20051877)",End Of File (LGR S/N: 20051877)
24869,12/16/17 07:00:00 AM,28.953,32.3,
24870,12/16/17 07:15:00 AM,28.953,53.8,
24871,12/16/17 07:30:00 AM,28.953,64.6,
24872,12/16/17 07:45:00 AM,28.953,53.8,
24873,12/16/17 08:00:00 AM,28.953,96.9,
24874,12/16/17 08:15:00 AM,28.953,161.5,
24875,12/16/17 08:30:00 AM,28.953,86.1,
24876,12/16/17 08:45:00 AM,28.953,64.6,
24877,12/16/17 09:00:00 AM,28.953,64.6,
24878,12/16/17 09:15:00 AM,28.953,32.3,
24879,12/16/17 09:30:00 AM,28.953,53.8,
24880,12/16/17 09:45:00 AM,28.953,172.2,
24881,12/16/17 10:00:00 AM,28.953,64.6,
24882,12/16/17 10:15:00 AM,28.953,301.4,
24883,12/16/17 10:30:00 AM,28.953,344.4,
24884,12/16/17 10:45:00 AM,28.953,150.7,
24885,12/16/17 11:00:00 AM,28.953,312.2,
24886,12/16/17 11:15:00 AM,29.053,398.3,
24887,12/16/17 11:30:00 AM,29.152,484.4,
24888,12/16/17 11:45:00 AM,29.152,516.7,
24889,12/16/17 12:00:00 PM,29.252,505.9,
24890,12/16/17 12:15:00 PM,29.252,344.4,
24891,12/16/17 12:30:00 PM,29.252,592,
24892,12/16/17 12:45:00 PM,29.252,129.2,
24893,12/16/17 01:00:00 PM,29.252,495.1,
24894,12/16/17 01:15:00 PM,29.252,473.6,
24895,12/16/17 01:30:00 PM,29.152,247.6,
24896,12/16/17 01:45:00 PM,29.152,183,
24897,12/16/17 02:00:00 PM,29.152,226,
24898,12/16/17 02:15:00 PM,29.152,150.7,
24899,12/16/17 02:30:00 PM,29.152,204.5,
24900,12/16/17 02:45:00 PM,29.152,269.1,
24901,12/16/17 03:00:00 PM,29.152,247.6,
24902,12/16/17 03:15:00 PM,29.152,107.6,
24903,12/16/17 03:30:00 PM,29.152,193.8,
24904,12/16/17 03:45:00 PM,29.152,64.6,
24905,12/16/17 04:00:00 PM,29.152,75.3,
24906,12/16/17 04:15:00 PM,29.152,43.1,
24907,12/16/17 04:30:00 PM,29.053,86.1,
24908,12/16/17 04:45:00 PM,29.053,43.1,
24909,12/16/17 05:00:00 PM,29.053,43.1,
24910,12/16/17 05:15:00 PM,29.053,21.5,
24911,12/16/17 05:30:00 PM,29.053,0,
24912,12/16/17 05:45:00 PM,29.053,0,
24913,12/16/17 06:00:00 PM,29.053,0,
24914,12/16/17 06:15:00 PM,29.053,0,
