Plot Title: 20058353,,,
#,"Date Time, GMT+05:00","Temp, ¡C (LGR S/N: 20058353, SEN S/N: 20058353)","Intensity, Lux (LGR S/N: 20058353, SEN S/N: 20058353)"
24808,12/16/17 03:45:00 AM,29.252,0
24809,12/16/17 04:00:00 AM,29.252,0
24810,12/16/17 04:15:00 AM,29.252,0
24811,12/16/17 04:30:00 AM,29.252,0
24812,12/16/17 04:45:00 AM,29.252,0
24813,12/16/17 05:00:00 AM,29.152,0
24814,12/16/17 05:15:00 AM,29.152,0
24815,12/16/17 05:30:00 AM,29.152,0
24816,12/16/17 05:45:00 AM,29.152,0
24817,12/16/17 06:00:00 AM,29.152,0
24818,12/16/17 06:15:00 AM,29.152,269.1
24819,12/16/17 06:30:00 AM,29.152,1194.8
24820,12/16/17 06:45:00 AM,29.152,1808.3
24821,12/16/17 07:00:00 AM,29.152,1894.5
24822,12/16/17 07:15:00 AM,29.053,2152.8
24823,12/16/17 07:30:00 AM,29.152,2583.4
24824,12/16/17 07:45:00 AM,29.252,4822.3
24825,12/16/17 08:00:00 AM,29.053,3272.2
24826,12/16/17 08:15:00 AM,29.352,4994.5
24827,12/16/17 08:30:00 AM,29.452,8266.7
24828,12/16/17 08:45:00 AM,29.452,11022.3
24829,12/16/17 09:00:00 AM,29.452,7233.4
24830,12/16/17 09:15:00 AM,29.452,3100
24831,12/16/17 09:30:00 AM,29.352,2152.8
24832,12/16/17 09:45:00 AM,29.352,4133.4
24833,12/16/17 10:00:00 AM,29.352,3272.2
24834,12/16/17 10:15:00 AM,29.452,9300.1
24835,12/16/17 10:30:00 AM,29.752,19977.9
24836,12/16/17 10:45:00 AM,29.552,12400.1
24837,12/16/17 11:00:00 AM,29.752,18600.1
24838,12/16/17 11:15:00 AM,29.752,13777.9
24839,12/16/17 11:30:00 AM,29.752,13777.9
24840,12/16/17 11:45:00 AM,29.752,19977.9
24841,12/16/17 12:00:00 PM,29.652,14466.8
24842,12/16/17 12:15:00 PM,29.652,12400.1
24843,12/16/17 12:30:00 PM,29.652,16533.4
24844,12/16/17 12:45:00 PM,29.752,13089
24845,12/16/17 01:00:00 PM,29.652,13777.9
24846,12/16/17 01:15:00 PM,29.652,10677.8
24847,12/16/17 01:30:00 PM,29.752,11022.3
24848,12/16/17 01:45:00 PM,29.352,3272.2
24849,12/16/17 02:00:00 PM,29.452,5166.7
24850,12/16/17 02:15:00 PM,29.452,4822.3
24851,12/16/17 02:30:00 PM,29.452,4477.8
24852,12/16/17 02:45:00 PM,29.552,6544.5
24853,12/16/17 03:00:00 PM,29.552,6544.5
24854,12/16/17 03:15:00 PM,29.452,2669.5
24855,12/16/17 03:30:00 PM,29.452,4650
24856,12/16/17 03:45:00 PM,29.452,2238.9
24857,12/16/17 04:00:00 PM,29.352,1636.1
24858,12/16/17 04:15:00 PM,29.352,1334.7
24859,12/16/17 04:30:00 PM,29.352,1194.8
24860,12/16/17 04:45:00 PM,29.352,1722.2
24861,12/16/17 05:00:00 PM,29.352,1097.9
24862,12/16/17 05:15:00 PM,29.352,775
24863,12/16/17 05:30:00 PM,29.252,441.3
24864,12/16/17 05:45:00 PM,29.252,226
24865,12/16/17 06:00:00 PM,29.152,64.6
24866,12/16/17 06:15:00 PM,29.152,0
24867,12/16/17 06:30:00 PM,29.152,0
24868,12/16/17 06:45:00 PM,29.152,0
24869,12/16/17 07:00:00 PM,29.152,0
24870,12/16/17 07:15:00 PM,29.152,0
24871,12/16/17 07:30:00 PM,29.053,0
24872,12/16/17 07:45:00 PM,29.053,0
24873,12/16/17 08:00:00 PM,28.953,0
24874,12/16/17 08:15:00 PM,28.853,0
24875,12/16/17 08:30:00 PM,28.754,0
24876,12/16/17 08:45:00 PM,28.953,0
