Plot Title: 10998654,,,,,
#,"Date Time, GMT+05:00","Temp, °F (LGR S/N: 10998654, SEN S/N: 10998654)","Intensity, lum/ft² (LGR S/N: 10998654, SEN S/N: 10998654)",Coupler Detached (LGR S/N: 10998654),End Of File (LGR S/N: 10998654)
997,03/07/2017 01:14,84.474,0,,
998,03/07/2017 02:14,84.295,0,,
999,03/07/2017 03:14,84.295,0,,
1000,03/07/2017 04:14,84.295,0,,
1001,03/07/2017 05:14,84.474,0,,
1002,03/07/2017 06:14,84.295,0,,
1003,03/07/2017 07:14,84.295,81,,
1004,03/07/2017 08:14,84.295,272,,
1005,03/07/2017 09:14,84.474,480,,
1006,03/07/2017 10:14,84.654,768,,
1007,03/07/2017 11:14,84.834,864,,
1008,03/07/2017 12:14,85.014,896,,
1009,03/07/2017 13:14,84.834,672,,
1010,03/07/2017 14:14,85.014,608,,
1011,03/07/2017 15:14,84.834,232,,
1012,03/07/2017 16:14,84.834,208,,
1013,03/07/2017 17:14,84.654,92,,
1014,03/07/2017 18:14,84.654,6,,
1015,03/07/2017 19:14,84.654,0,,
1016,03/07/2017 20:14,84.834,0,,
1017,03/07/2017 21:14,84.474,0,,
1018,03/07/2017 22:14,84.654,0,,
1019,03/07/2017 23:14,84.654,0,,
1020,03/08/2017 00:14,84.654,0,,
1021,03/08/2017 01:14,84.654,0,,
1022,03/08/2017 02:14,84.474,0,,
1023,03/08/2017 03:14,84.474,0,,
1024,03/08/2017 04:14,84.474,0,,
1025,03/08/2017 05:14,84.474,0,,
1026,03/08/2017 06:14,84.295,1,,
1027,03/08/2017 07:14,84.295,66,,
1028,03/08/2017 08:14,84.474,232,,
1029,03/08/2017 09:14,84.654,496,,
1030,03/08/2017 10:14,84.654,864,,
1031,03/08/2017 11:14,84.834,1088,,
1032,03/08/2017 12:14,85.014,1408,,
1033,03/08/2017 13:14,85.014,864,,
1034,03/08/2017 14:14,85.014,672,,
1035,03/08/2017 15:14,85.014,224,,
1036,03/08/2017 16:14,84.834,136,,
1037,03/08/2017 17:14,84.834,64,,
1038,03/08/2017 18:14,84.654,4,,
1039,03/08/2017 19:14,84.654,0,,
1040,03/08/2017 20:14,84.654,0,,
1041,03/08/2017 21:14,84.654,0,,
1042,03/08/2017 22:14,84.654,0,,
1043,03/08/2017 23:14,84.834,0,,
