Plot Title: 20014459,,,
#,"Date Time, GMT+05:00","Temp, ¡C (LGR S/N: 20014459, SEN S/N: 20014459)","Intensity, Lux (LGR S/N: 20014459, SEN S/N: 20014459)"
1548,12/15/17 02:00:00 AM,29.152,0
1549,12/15/17 06:00:00 AM,29.053,0
1550,12/15/17 10:00:00 AM,29.252,2152.8
1551,12/15/17 02:00:00 PM,29.352,1894.5
1552,12/15/17 06:00:00 PM,29.252,21.5
1553,12/15/17 10:00:00 PM,29.252,0
1554,12/16/17 02:00:00 AM,28.953,0
1555,12/16/17 06:00:00 AM,28.953,0
1556,12/16/17 10:00:00 AM,28.853,484.4
1557,12/16/17 02:00:00 PM,29.152,1377.8
1558,12/16/17 06:00:00 PM,29.152,10.8
1559,12/16/17 10:00:00 PM,28.853,0
1560,12/17/17 02:00:00 AM,28.853,0
1561,12/17/17 06:00:00 AM,28.754,0
1562,12/17/17 10:00:00 AM,28.655,1108.7
1563,12/17/17 02:00:00 PM,29.053,925.7
1564,12/17/17 06:00:00 PM,28.754,0
1565,12/17/17 10:00:00 PM,28.754,0
1566,12/18/17 02:00:00 AM,28.754,0
1567,12/18/17 06:00:00 AM,28.754,0
1568,12/18/17 10:00:00 AM,28.754,624.3
1569,12/18/17 02:00:00 PM,28.953,1722.2
1570,12/18/17 06:00:00 PM,28.853,10.8
1571,12/18/17 10:00:00 PM,28.754,0
1572,12/19/17 02:00:00 AM,28.06,0
1573,12/19/17 06:00:00 AM,28.357,0
1574,12/19/17 10:00:00 AM,27.961,1313.2
1575,12/19/17 02:00:00 PM,28.159,1808.3
1576,12/19/17 06:00:00 PM,28.159,10.8
1577,12/19/17 10:00:00 PM,27.961,0
1578,12/20/17 02:00:00 AM,28.06,0
1579,12/20/17 06:00:00 AM,27.961,0
1580,12/20/17 10:00:00 AM,28.06,1356.3
1581,12/20/17 02:00:00 PM,28.555,2152.8
1582,12/20/17 06:00:00 PM,28.555,10.8
1583,12/20/17 10:00:00 PM,28.258,0
1584,12/21/17 02:00:00 AM,28.456,0
1585,12/21/17 06:00:00 AM,28.456,0
1586,12/21/17 10:00:00 AM,28.555,1550
1587,12/21/17 02:00:00 PM,28.655,785.8
1588,12/21/17 06:00:00 PM,28.754,21.5
1589,12/21/17 10:00:00 PM,28.555,0
1590,12/22/17 02:00:00 AM,28.456,0
1591,12/22/17 06:00:00 AM,28.258,0
1592,12/22/17 10:00:00 AM,28.357,1259.4
1593,12/22/17 02:00:00 PM,28.357,1377.8
1594,12/22/17 06:00:00 PM,28.456,10.8
1595,12/22/17 10:00:00 PM,28.555,0
1596,12/23/17 02:00:00 AM,28.456,0
1597,12/23/17 06:00:00 AM,28.655,0
1598,12/23/17 10:00:00 AM,28.754,559.7
1599,12/23/17 02:00:00 PM,28.754,322.9
1600,12/23/17 06:00:00 PM,28.953,21.5
1601,12/23/17 10:00:00 PM,28.655,0
1602,12/24/17 02:00:00 AM,28.655,0
1603,12/24/17 06:00:00 AM,28.655,0
1604,12/24/17 10:00:00 AM,28.655,204.5
1605,12/24/17 02:00:00 PM,28.655,1313.2
1606,12/24/17 06:00:00 PM,28.754,21.5
1607,12/24/17 10:00:00 PM,28.655,0
1608,12/25/17 02:00:00 AM,28.655,0
1609,12/25/17 06:00:00 AM,28.655,0
1610,12/25/17 10:00:00 AM,28.754,2325
1611,12/25/17 02:00:00 PM,28.754,2325
1612,12/25/17 06:00:00 PM,28.953,53.8
1613,12/25/17 10:00:00 PM,28.754,0
1614,12/26/17 02:00:00 AM,28.655,0
1615,12/26/17 06:00:00 AM,28.555,0
1616,12/26/17 10:00:00 AM,28.655,1722.2
1617,12/26/17 02:00:00 PM,28.655,2238.9
1618,12/26/17 06:00:00 PM,28.555,10.8
1619,12/26/17 10:00:00 PM,28.655,0
1620,12/27/17 02:00:00 AM,28.655,0
1621,12/27/17 06:00:00 AM,28.456,0
