Plot Title: 20277815,,,
#,"Date Time, GMT+00:00","Temp, ¡C (LGR S/N: 20277815, SEN S/N: 20277815)","Intensity, Lux (LGR S/N: 20277815, SEN S/N: 20277815)"
4710,04/05/2018 21:50,30.154,0
4711,04/05/2018 22:00,30.154,0
4712,04/05/2018 22:10,30.154,0
4713,04/05/2018 22:20,30.154,0
4714,04/05/2018 22:30,30.154,0
4715,04/05/2018 22:40,30.154,0
4716,04/05/2018 22:50,30.154,0
4717,04/05/2018 23:00,30.154,0
4718,04/05/2018 23:10,30.154,0
4719,04/05/2018 23:20,30.154,0
4720,04/05/2018 23:30,30.154,0
4721,04/05/2018 23:40,30.154,0
4722,04/05/2018 23:50,30.154,0
4723,04/06/2018 00:00,30.154,0
4724,04/06/2018 00:10,30.154,0
4725,04/06/2018 00:20,30.154,0
4726,04/06/2018 00:30,30.154,0
4727,04/06/2018 00:40,30.154,0
4728,04/06/2018 00:50,30.154,0
4729,04/06/2018 01:00,30.154,0
4730,04/06/2018 01:10,30.054,75.3
4731,04/06/2018 01:20,30.054,247.6
4732,04/06/2018 01:30,30.154,559.7
4733,04/06/2018 01:40,30.054,871.9
4734,04/06/2018 01:50,30.054,1259.4
4735,04/06/2018 02:00,30.154,1636.1
4736,04/06/2018 02:10,30.154,2669.5
4737,04/06/2018 02:20,30.154,2927.8
4738,04/06/2018 02:30,30.255,3100
4739,04/06/2018 02:40,30.255,4822.3
4740,04/06/2018 02:50,30.255,4477.8
4741,04/06/2018 03:00,30.356,5166.7
4742,04/06/2018 03:10,30.356,5166.7
4743,04/06/2018 03:20,30.457,7577.8
4744,04/06/2018 03:30,30.558,11022.3
4745,04/06/2018 03:40,30.558,8611.2
4746,04/06/2018 03:50,30.659,9300.1
4747,04/06/2018 04:00,30.76,15844.5
4748,04/06/2018 04:10,30.76,14466.8
4749,04/06/2018 04:20,30.76,20666.8
4750,04/06/2018 04:30,30.862,16533.4
4751,04/06/2018 04:40,30.862,15844.5
4752,04/06/2018 04:50,30.963,15155.7
4753,04/06/2018 05:00,31.064,15844.5
4754,04/06/2018 05:10,30.76,13089
4755,04/06/2018 05:20,30.76,8266.7
4756,04/06/2018 05:30,30.963,15155.7
4757,04/06/2018 05:40,30.76,19289
4758,04/06/2018 05:50,30.659,7233.4
4759,04/06/2018 06:00,30.558,8266.7
4760,04/06/2018 06:10,30.457,5511.1
4761,04/06/2018 06:20,30.862,14466.8
4762,04/06/2018 06:30,30.963,9300.1
4763,04/06/2018 06:40,30.659,7233.4
4764,04/06/2018 06:50,30.963,13777.9
4765,04/06/2018 07:00,30.862,10333.4
4766,04/06/2018 07:10,30.963,22044.6
4767,04/06/2018 07:20,31.166,10333.4
4768,04/06/2018 07:30,30.659,7577.8
4769,04/06/2018 07:40,30.659,12400.1
4770,04/06/2018 07:50,30.558,8611.2
4771,04/06/2018 08:00,30.356,2411.1
4772,04/06/2018 08:10,30.356,2066.7
4773,04/06/2018 08:20,30.356,3444.5
4774,04/06/2018 08:30,30.862,3100
4775,04/06/2018 08:40,30.659,5166.7
4776,04/06/2018 08:50,30.76,8266.7
4777,04/06/2018 09:00,30.659,6544.5
4778,04/06/2018 09:10,30.862,18600.1
4779,04/06/2018 09:20,30.76,4650
4780,04/06/2018 09:30,30.659,3100
4781,04/06/2018 09:40,30.558,2497.2
4782,04/06/2018 09:50,30.558,3272.2
4783,04/06/2018 10:00,30.659,7233.4
4784,04/06/2018 10:10,30.963,14466.8
4785,04/06/2018 10:20,30.963,12400.1
4786,04/06/2018 10:30,30.862,6200
4787,04/06/2018 10:40,30.862,9300.1
4788,04/06/2018 10:50,30.862,7233.4
