"","file","CoralID","time","C","D","R","area","peri","center_x","center_y","rC","pC"
"129","AM_D_R_N_S_01_0.txt","AM_D_R_N_S_01","t0",0.147857335825868,1.18143533968536,2.60062996164122,4.2077636699978,18.9107678622891,13.2717071219512,7.75903609756098,1.15731273858248,7.27161039487324
"130","AM_D_R_N_S_01_1.txt","AM_D_R_N_S_01","t1",0.113525162753685,1.19248116621916,2.96793191152422,29.7892606649984,57.4233768010984,23.8419103926097,11.8224852193995,3.07932073220295,19.3479427806711
"131","AM_D_R_N_S_04_0.txt","AM_D_R_N_S_04","t0",0.10570156817223,1.17686423368145,3.07580844323963,7.58555402999627,30.0301754674322,13.3178134011091,9.36272865064695,1.55388443583463,9.76334385629119
"132","AM_D_R_N_S_04_1.txt","AM_D_R_N_S_04","t1",0.109811200838087,1.14087726554696,3.01770428541035,29.3517175949819,57.9559957278189,17.0926115447154,11.4817578861789,3.05662262750204,19.2053263827135
"133","AM_D_R_S_D_08_0.txt","AM_D_R_S_D_08","t0",0.258957692953796,1.04085993740167,1.96510423388213,2.07393606000187,10.0320157377116,12.1967475675676,7.86324405405405,0.812498831514024,5.1050807202695
"134","AM_D_R_S_D_08_1.txt","AM_D_R_S_D_08","t1",0.0333200711238189,1.35138690297098,5.47831550199335,62.3012544550002,153.285250462306,23.2064717192691,16.8820306478405,4.45321290920145,27.980361920837
"135","AM_D_R_S_D_10_0.txt","AM_D_R_S_D_10","t0",0.145489806562875,1.13653814236393,2.62170436273912,5.20207377999759,21.1971221507345,13.4193155367232,8.96524406779661,1.28680671152692,8.085245023046
"136","AM_D_R_S_D_10_1.txt","AM_D_R_S_D_10","t1",0.0222954645674346,1.259129465913,6.69717638111637,448.076190070249,502.54227609991,32.9839003304348,27.2185451304348,11.9426580401068,75.0379335262692
"137","AM_D_Y_N_D_07_0.txt","AM_D_Y_N_D_07","t0",0.642409975163879,1,1.24765313454619,1.04678240999965,4.52508771596696,9.88755130434783,7.00935739130435,0.577235818176751,3.62687961154595
"138","AM_D_Y_N_D_07_1.txt","AM_D_Y_N_D_07","t1",0.0218522169609657,1.39357154103013,6.76475773817934,475.949952000054,523.163966461653,30.443474186551,25.3738203904555,12.3085163626782,77.3366891631594
"139","AM_D_Y_N_D_08_0.txt","AM_D_Y_N_D_08","t0",0.335710399584401,1.11350272260738,1.72590784385522,4.60610177499984,13.1307429449461,13.7873194888179,6.16588945686901,1.21085413314369,7.60802089850611
"140","AM_D_Y_N_D_08_1.txt","AM_D_Y_N_D_08","t1",0.0341469632616062,1.25228511929312,5.41157842115428,272.609424644848,316.737381064649,37.0548404634581,22.4968084373143,9.3152710605398,58.5295742599789
"141","AM_D_Y_N_D_10_0.txt","AM_D_Y_N_D_10","t0",0.20752125580181,1.12347427852153,2.19517276855903,2.53557177000039,12.3911493779106,12.5032060498221,8.4171743772242,0.898386087113807,5.64472626272803
"142","AM_D_Y_N_D_10_1.txt","AM_D_Y_N_D_10","t1",0.0289983195411549,1.3235584010854,5.87237234037125,177.560394749977,277.390489766806,41.0671953232814,26.1669884232047,7.51792717732847,47.2365295810363
"143","AM_D_Y_N_S_04_0.txt","AM_D_Y_N_S_04","t0",0.662250842958354,1.04976783677546,1.22882132670821,1.44982915999753,5.24507964601616,13.3056578313253,8.25293012048193,0.67933419971672,4.2683826623247
"144","AM_D_Y_N_S_04_1.txt","AM_D_Y_N_S_04","t1",0.407053239071481,1.12993274942168,1.56738033104929,6.29281922000155,13.9380478874033,15.787453875969,10.2461709302326,1.41529734320879,8.89257547213978
"145","AM_D_Y_N_S_06_0.txt","AM_D_Y_N_S_06","t0",0.093686121244391,1.14925943359918,3.2670995707376,9.11360496999987,34.9632988737984,11.9627765859285,9.13488419838524,1.70321770796475,10.7016324776122
"146","AM_D_Y_N_S_06_1.txt","AM_D_Y_N_S_06","t1",0.124789412531242,1.10520715063618,2.83081266459357,16.7726612200204,41.0976556955293,22.2049052202284,10.6838592169657,2.31060682158258,14.5179708320366
"147","AM_D_Y_S_D_03_0.txt","AM_D_Y_S_D_03","t0",0.486681708514917,1.02531303653499,1.4334332956619,1.15901183499955,5.47049159817248,12.2451615384615,6.96268615384615,0.607391904197259,3.81635588815205
"148","AM_D_Y_S_D_03_1.txt","AM_D_Y_S_D_03","t1",0.0370825595656339,1.21387665219997,5.19296204643103,166.293880315032,237.387700807358,29.7783031683766,16.5134129752565,7.27550590104487,45.7133517797435
"149","AM_D_Y_S_D_05_0.txt","AM_D_Y_S_D_05","t0",0.378072728887077,1.11851959865043,1.62634367121547,2.1571506650007,8.46754465454685,10.1659434262948,6.33513984063745,0.828638873489327,5.20649159486598
"150","AM_D_Y_S_D_05_1.txt","AM_D_Y_S_D_05","t1",0.0163395747182948,1.23261711524122,7.8231134011338,221.302258144831,412.550844448015,34.8760916489926,19.6709229321315,8.39301475051111,52.734866963353
"151","AM_D_Y_S_S_02_0.txt","AM_D_Y_S_S_02","t0",0.368981859237465,1.11851959865043,1.64625646150893,2.22870136500023,8.71221058083919,10.83919375,7.41243625,0.842269361802317,5.29213447876385
"152","AM_D_Y_S_S_02_1.txt","AM_D_Y_S_S_02","t1",0.103807095548923,1.12092337194092,3.10374819519587,28.5776338450378,58.8172270524228,20.0258504186603,12.1156250598086,3.01604764163566,18.9503862276788
"153","AM_S_B_N_D_03_0.txt","AM_S_B_N_D_03","t0",0.414442214361612,1.20104922178567,1.55334529843658,3.42091208000056,10.1845980965312,18.5416086065574,14.2145090163934,1.04350856960052,6.55655771243
"154","AM_S_B_N_D_03_1.txt","AM_S_B_N_D_03","t1",0.193876583997067,1.0934209168588,2.27110555975312,8.66286560000299,23.6958908537687,24.0721036312849,13.8884340782123,1.66056489278872,10.4336369359884
"155","AM_S_B_N_D_07_0.txt","AM_S_B_N_D_07","t0",0.382433359380046,1.11146394335916,1.61704503694522,3.97863989000325,11.4338993282705,24.1921334365325,14.9863077399381,1.12536234633705,7.07086015975808
"156","AM_S_B_N_D_07_1.txt","AM_S_B_N_D_07","t1",0.179780131826117,1.12682824837959,2.35846346368552,11.7816905750078,28.6970920659866,22.4315114228457,12.1024703406814,1.93655069285144,12.1677068599326
