"","CoralID","Genus","Species","Origin","sourceGen","Destination","Rack","D","d","L","Weight","mlVol","C","DF","RI","area","peri","TH","time","Dl","dl","Ll","Wl","Vl","Al","Fl","Cl","Tl","Rl"
"1","AD_D_B_N_D_03","A","AD","D","D:AD:B","D","3",0.97,0.88,3.75,231,98,0.196308648329825,1.09658311477612,2.25699337154081,5.72548285500125,19.1443786251421,1.45945056891094,"t0",-0.0132282657337552,-0.0555173278498314,0.574031267727719,2.36361197989214,1.99122607569249,0.757812118508841,0.04004155431783,-0.707060567240614,0.164189390168322,0.353530283620307
"2","AD_D_B_N_D_05","A","AD","D","D:AD:B","D","5",1.6,0.77,4.85,235,99,0.207054935711632,1.11809796588488,2.19764331448261,4.76559368499147,17.0067232317957,1.03935813381117,"t0",0.204119982655925,-0.113509274827518,0.685741738602264,2.37106786227174,1.99563519459755,0.678117011596585,0.0484798573780046,-0.683914412460433,0.0167652191051023,0.341957206230217
"3","AD_D_B_N_D_07","A","AD","D","D:AD:B","D","7",0.84,0.84,4.08,220,93,0.212160093416232,1.14231841734415,2.17104162919617,5.61370158499994,18.2346631219284,1.59136733330173,"t0",-0.0757207139381184,-0.0757207139381184,0.61066016308988,2.34242268082221,1.96848294855394,0.749249322542731,0.0577871788837491,-0.673336302051032,0.201770438862416,0.336668151025516
"4","AD_D_B_N_S_02","A","AD","D","D:AD:B","S","2",1.19,0.79,6.31,257,108,0.190376020149521,1.13895008430277,2.29189057272759,12.5243208949978,28.7525192884805,2.01681917745432,"t0",0.0755469613925307,-0.102372908709559,0.800029359244134,2.40993312333129,2.03342375548695,1.09775418647134,0.0565046910791938,-0.720387756437933,0.304666962291055,0.360193878218966
"5","AD_D_B_S_D_08","A","AD","D","D:AD:B","D","8",1.18,0.95,4.45,240,105,0.204702044321378,1.17372442563383,2.21023733181471,17.3446297850023,32.6306976566293,2.20626651211283,"t0",0.0718820073061254,-0.0222763947111523,0.648360010980932,2.38021124171161,2.02118929906994,1.23916503441466,0.0695661425034679,-0.688877820097336,0.343657973085507,0.344438910048668
"6","AD_D_B_S_D_10","A","AD","D","D:AD:B","D","10",1.18,1.09,4.56,225,99,0.317003347590744,1.10195500086539,1.77610270531776,15.2470069500123,24.5847222942859,1.94098197025893,"t0",0.0718820073061254,0.0374264979406237,0.658964842664435,2.35218251811136,1.99563519459755,1.18318459826183,0.0421638601465558,-0.498936151559815,0.288021501254709,0.249468075779908
"7","AD_D_G_N_D_08","A","AD","D","D:AD:G","D","8",0.6,0.54,4.34,231,94.5,0.28061456019122,1.17121009410064,1.88775182712205,9.10103997999977,20.188095122966,2.98604067367751,"t0",-0.221848749616356,-0.267606240177031,0.637489729512511,2.36361197989214,1.97543180850926,0.95909102218578,0.0686348067072441,-0.551889798572631,0.475095719073332,0.275944899286316
"8","AD_D_G_N_D_10","A","AD","D","D:AD:G","D","10",0.73,0.64,4.97,261,118,0.126071257985937,1.2038224724169,2.81638457319897,17.4292727699794,41.6808456992139,3.43854035413527,"t0",-0.136677139879544,-0.193820026016113,0.696356388733332,2.41664050733828,2.07188200730613,1.24127926670988,0.080562446278653,-0.8993839135926,0.53637412551545,0.449691956796299
"9","AD_D_G_N_S_09","A","AD","D","D:AD:G","S","9",0.73,0.59,5.58,240,104,0.219386789263985,1.16657100428679,2.13498468421621,3.99068744500073,15.1190169256225,1.70767407585339,"t0",-0.136677139879544,-0.229147988357856,0.746634198937579,2.38021124171161,2.01703333929878,0.601047714697823,0.0669111776188181,-0.65878952772982,0.232404985459976,0.32939476386491
"10","AD_D_G_S_D_03","A","AD","D","D:AD:G","D","3",0.77,0.62,4.87,242,104,0.28764333714403,1.18925581162686,1.86454487694235,3.25684650500079,11.9282413566386,1.4650043169996,"t0",-0.113509274827518,-0.207608310501746,0.687528961214634,2.38381536598043,2.01703333929878,0.512797290771806,0.0752752823970132,-0.54114568134679,0.165838904448723,0.270572840673394
