Plot Title: 10998654,,,,,
#,"Date Time, GMT+05:00","Temp, øF (LGR S/N: 10998654, SEN S/N: 10998654)","Intensity, lum/ftý (LGR S/N: 10998654, SEN S/N: 10998654)",Coupler Detached (LGR S/N: 10998654),End Of File (LGR S/N: 10998654)
158,01/31/17 02:14:11 AM,82.864,0,,
159,01/31/17 03:14:11 AM,82.864,0,,
160,01/31/17 04:14:11 AM,82.864,0,,
161,01/31/17 05:14:11 AM,82.864,0,,
162,01/31/17 06:14:11 AM,82.864,0,,
163,01/31/17 07:14:11 AM,82.864,52,,
164,01/31/17 08:14:11 AM,82.864,176,,
165,01/31/17 09:14:11 AM,82.864,98,,
166,01/31/17 10:14:11 AM,83.043,512,,
167,01/31/17 11:14:11 AM,83.221,576,,
168,01/31/17 12:14:11 PM,83.221,576,,
169,01/31/17 01:14:11 PM,82.152,480,,
170,01/31/17 02:14:11 PM,83.043,448,,
171,01/31/17 03:14:11 PM,82.33,304,,
172,01/31/17 04:14:11 PM,82.686,152,,
173,01/31/17 05:14:11 PM,82.686,60,,
174,01/31/17 06:14:11 PM,82.508,4,,
175,01/31/17 07:14:11 PM,82.508,0,,
176,01/31/17 08:14:11 PM,82.686,0,,
177,01/31/17 09:14:11 PM,82.686,0,,
178,01/31/17 10:14:11 PM,82.686,0,,
179,01/31/17 11:14:11 PM,82.686,0,,
180,02/01/2017 00:14,82.864,0,,
181,02/01/2017 01:14,82.508,0,,
182,02/01/2017 02:14,82.508,0,,
183,02/01/2017 03:14,82.686,0,,
184,02/01/2017 04:14,82.864,0,,
185,02/01/2017 05:14,82.864,0,,
186,02/01/2017 06:14,82.686,0,,
187,02/01/2017 07:14,82.33,27,,
188,02/01/2017 08:14,82.508,109,,
189,02/01/2017 09:14,82.508,256,,
190,02/01/2017 10:14,82.686,384,,
191,02/01/2017 11:14,82.864,480,,
192,02/01/2017 12:14,82.864,480,,
193,02/01/2017 13:14,82.686,400,,
194,02/01/2017 14:14,82.686,272,,
195,02/01/2017 15:14,82.686,200,,
196,02/01/2017 16:14,83.757,176,,
197,02/01/2017 17:14,83.221,111,,
198,02/01/2017 18:14,83.221,5,,
199,02/01/2017 19:14,83.043,0,,
200,02/01/2017 20:14,82.686,0,,
201,02/01/2017 21:14,82.686,0,,
202,02/01/2017 22:14,82.864,0,,
203,02/01/2017 23:14,82.686,0,,
204,02/02/2017 00:14,82.686,0,,
205,02/02/2017 01:14,82.686,0,,
206,02/02/2017 02:14,82.686,0,,
207,02/02/2017 03:14,82.686,0,,
208,02/02/2017 04:14,82.864,0,,
209,02/02/2017 05:14,83.043,0,,
210,02/02/2017 06:14,82.864,0,,
211,02/02/2017 07:14,82.864,46,,
212,02/02/2017 08:14,82.864,81,,
213,02/02/2017 09:14,82.864,288,,
214,02/02/2017 10:14,82.864,208,,
215,02/02/2017 11:14,82.864,512,,
216,02/02/2017 12:14,83.043,512,,
217,02/02/2017 13:14,83.043,496,,
218,02/02/2017 14:14,82.864,32,,
219,02/02/2017 15:14,82.864,208,,
220,02/02/2017 16:14,83.757,136,,
221,02/02/2017 17:14,83.221,59,,
222,02/02/2017 18:14,83.579,7,,
223,02/02/2017 19:14,83.757,0,,
224,02/02/2017 20:14,83.757,0,,
225,02/02/2017 21:14,83.579,0,,
