CoralID,ColonyCollection,DeploymentDate,Species,Origin,Genotype,Stained,Destination,Rack,D_i,d_i,L_i,Weight_i,mlVol_i,CollectionDate,D_f,d_f,L_f,Weight_f,mlVol_f
AD_D_B_N_S_02,19/01/2017,20/01/2017,AD,D,B,N,S,2,1.19,0.79,6.31,257,108,,5.63,4.4,9.68,437,200
AD_D_G_S_S_02,21/01/2017,22/01/2017,AD,D,G,S,S,2,0.67,0.43,5.19,241,101.5,,3.2,2.81,6.05,314,142
AD_D_R_N_S_02,21/01/2017,22/01/2017,AD,D,R,N,S,2,0.85,0.51,4.59,261,128,,4.39,4.09,6.31,349,153
AD_D_Y_N_S_02,19/01/2017,20/01/2017,AD,D,Y,N,S,2,0.82,0.75,3.92,216,93,,5.36,4.06,7.26,306,139
AD_S_B_N_S_02,18/01/2017,19/01/2017,AD,S,B,N,S,2,0.81,0.65,3.17,264,98,,3,1.99,4.98,258,115
AD_S_G_N_S_02,20/01/2017,21/01/2017,AD,S,G,N,S,2,0.79,0.83,6.53,229,93,,1.27,1.36,1.73,276,122
AD_S_N_S_S_02,22/01/2017,23/01/2017,AD,S,N,S,S,2,0.95,0.9,7.01,247,100,,4.26,3.99,6.84,360,159
AD_S_R_S_S_02,18/01/2017,19/01/2017,AD,S,R,S,S,2,0.87,0.83,5.35,225,102,,6.46,5.75,6.88,373,173
AD_S_Y_S_S_02,20/01/2017,21/01/2017,AD,S,Y,S,S,2,0.59,0.42,4.19,242,103,,3.95,3.17,6.46,316,142
AM_D_B_S_S_02,19/01/2017,20/01/2017,AM,D,B,S,S,2,0.76,0.58,4.32,229,95,,2,1.64,7.22,280,129
AM_D_G_S_S_02,21/01/2017,22/01/2017,AM,D,G,S,S,2,0.62,0.56,7.12,261,112,,,,,,
AM_D_N_N_S_02,23/01/2017,24/01/2017,AM,D,N,N,S,2,1.05,0.99,6.45,230,101,,3.73,3.1,8.37,289,142
AM_D_R_N_S_02,21/01/2017,22/01/2017,AM,D,R,N,S,2,0.66,0.62,5.42,237,107,,,,,,
AM_D_Y_S_S_02,19/01/2017,20/01/2017,AM,D,Y,S,S,2,0.66,0.66,4.06,215,96,,2.15,1.59,6.4,282,130
AM_S_B_N_S_02,18/01/2017,19/01/2017,AM,S,B,N,S,2,0.67,0.57,4.67,241,86,,,,,,
AM_S_N_N_S_02,22/01/2017,23/01/2017,AM,S,N,N,S,2,0.89,0.8,7.58,250,111.5,,5.02,3.7,7.27,316,145
AM_S_R_N_S_02,18/01/2017,19/01/2017,AM,S,R,N,S,2,0.58,0.58,4.42,296,100,,,,,,
