CoralID,ColonyCollection,DeploymentDate,Species,Origin,Genotype,Stained,Destination,Rack,D_i,d_i,L_i,Weight_i,mlVol_i,CollectionDate,D_f,d_f,L_f,Weight_f,mlVol_f
PR_S_Y_S_D_05,18/01/2017,19/01/2017,PR,S,Y,S,D,5,2.18,0.89,3.38,234,101.5,,6.56,4.93,3.89,273,139
AD_D_B_S_S_06,19/01/2017,20/01/2017,AD,D,B,S,S,6,1.47,0.93,3.78,225,100,06/05/2018,,,,,
AD_D_G_N_S_06,21/01/2017,22/01/2017,AD,D,G,N,S,6,0.93,0.76,6.2,247,105,06/05/2018,,,,,
AD_D_R_N_S_06,21/01/2017,22/01/2017,AD,D,R,N,S,6,0.88,0.72,5.34,254,118,06/05/2018,,,,,
AD_D_Y_S_S_06,19/01/2017,20/01/2017,AD,D,Y,S,S,6,1.09,0.78,4.71,242,103.5,06/05/2018,,,,,
AD_S_B_S_S_06,18/01/2017,19/01/2017,AD,S,B,S,S,6,0.72,0.71,3.15,214,92,06/05/2018,,,,,
AD_S_G_S_S_06,20/01/2017,21/01/2017,AD,S,G,S,S,6,0.78,0.69,4.52,236,98,06/05/2018,,,,,
AD_S_N_S_S_06,22/01/2017,23/01/2017,AD,S,N,S,S,6,0.78,0.62,3.9,252,108,06/05/2018,,,,,
AD_S_R_N_S_06,18/01/2017,19/01/2017,AD,S,R,N,S,6,0.65,0.58,3.95,256,93,06/05/2018,,,,,
AD_S_Y_N_S_06,20/01/2017,21/01/2017,AD,S,Y,N,S,6,1.11,0.63,6.43,233,109,06/05/2018,,,,,
AM_D_B_S_S_06,19/01/2017,20/01/2017,AM,D,B,S,S,6,0.73,0.55,4.79,225,95.5,06/05/2018,3.49,2.83,5.05,261,122
AM_D_G_N_S_06,21/01/2017,22/01/2017,AM,D,G,N,S,6,0.67,0.59,5.84,251,101.5,06/05/2018,,,,,
AM_D_N_S_S_06,23/01/2017,24/01/2017,AM,D,N,S,S,6,1.2,1.2,8.47,247,115.5,06/05/2018,,,,,
AM_D_R_S_S_06,21/01/2017,22/01/2017,AM,D,R,S,S,6,0.69,0.67,5.21,231,101.5,06/05/2018,,,,,
AM_D_Y_N_S_06,19/01/2017,20/01/2017,AM,D,Y,N,S,6,0.73,0.75,5.03,215,101,06/05/2018,2.1,1.58,6.29,251,120
AM_S_B_S_S_06,18/01/2017,19/01/2017,AM,S,B,S,S,6,0.72,0.8,4.12,213,87,06/05/2018,,,,,
AM_S_N_S_S_06,22/01/2017,23/01/2017,AM,S,N,S,S,6,0.72,0.7,4.55,242,98.5,06/05/2018,,,,,
AM_S_R_S_S_06,18/01/2017,19/01/2017,AM,S,R,S,S,6,0.64,0.59,6.19,218,88,06/05/2018,,,,,
AM_S_G_N_S_06,20/01/2017,21/01/2017,AM,S,G,N,S,6,0.93,0.83,7.7,226,117,06/05/2018,1.32,1.25,7.41,251,110
AM_S_Y_N_S_06,20/01/2017,21/01/2017,AM,S,Y,N,S,6,0.79,0.63,6.05,231,118,06/05/2018,1.81,1.34,4.95,251,111
PC_D_B_N_S_06,19/01/2017,20/01/2017,PC,D,B,N,S,6,1.3,1.23,5.12,248,101.5,06/05/2018,,,,,
PC_D_G_N_S_06,21/01/2017,22/01/2017,PC,D,G,N,S,6,1.95,1.74,10.29,287,138,06/05/2018,2.55,2.42,12.03,391,191
PC_D_R_N_S_06,23/01/2017,24/01/2017,PC,D,R,N,S,6,2.65,2.15,10.3,294,138,06/05/2018,,,,,
PC_D_Y_N_S_06,19/01/2017,20/01/2017,PC,D,Y,N,S,6,1.26,1.12,4.21,236,102,06/05/2018,5.16,4.93,12.16,411,195
PC_S_B_N_S_06,22/01/2017,23/01/2017,PC,S,B,N,S,6,0.99,0.82,4.77,255,108.5,06/05/2018,,,,,
PC_S_G_S_S_06,18/01/2017,19/01/2017,PC,S,G,S,S,6,1.4,1.24,2.09,220,94,06/05/2018,,,,,
PC_S_N_N_S_06,22/01/2017,23/01/2017,PC,S,N,N,S,6,1.12,1.11,5.46,244,105,06/05/2018,3.3,2.65,4.89,371,125
PC_S_R_N_S_06,20/01/2017,21/01/2017,PC,S,R,N,S,6,1.33,1.23,6.03,255,110,06/05/2018,,,,,
PC_S_Y_S_S_06,22/01/2017,23/01/2017,PC,S,Y,S,S,6,2,1.74,7.63,267,120,06/05/2018,1.77,1.45,7.54,315,148
PR_D_B_N_S_06,19/01/2017,20/01/2017,PR,D,B,N,S,6,1.18,0.9,3.04,232,101,06/05/2018,,,,,
PR_D_G_S_S_06,21/01/2017,22/01/2017,PR,D,G,S,S,6,1.1,0.89,4.92,227,91,06/05/2018,,,,,
PR_D_R_N_S_06,21/01/2017,22/01/2017,PR,D,R,N,S,6,3.88,2.45,6.25,298,134,06/05/2018,4.36,4.07,7.49,361,169
PR_D_Y_N_S_06,23/01/2017,24/01/2017,PR,D,Y,N,S,6,2.97,2.45,7.85,295,131.5,06/05/2018,7.4,6.39,7.83,420,200
PR_S_B_S_S_06,20/01/2017,21/01/2017,PR,S,B,S,S,6,1.64,1.17,4.78,257,105.5,06/05/2018,6.12,3.55,8.52,359,159
PR_S_G_N_S_06,18/01/2017,19/01/2017,PR,S,G,N,S,6,2.53,1.64,2.61,224,96,06/05/2018,3.58,2.83,4.73,266,125
PR_S_N_N_S_06,22/01/2017,23/01/2017,PR,S,N,N,S,6,2.12,1.34,4.54,266,112,06/05/2018,4.52,3.11,6.4,334,147
PR_S_R_N_S_06,20/01/2017,21/01/2017,PR,S,R,N,S,6,0.98,0.88,3.62,231,94,06/05/2018,,,,,
PR_S_Y_S_S_06,18/01/2017,19/01/2017,PR,S,Y,S,S,6,1.51,0.64,3.03,217,99,06/05/2018,2.56,1.81,6.69,277,136
AD_D_B_N_D_07,19/01/2017,20/01/2017,AD,D,B,N,D,7,0.84,0.84,4.08,220,93,08/05/2018,3.77,2.61,8.93,370,179
AD_D_G_N_D_07,21/01/2017,22/01/2017,AD,D,G,N,D,7,0.63,0.63,4.15,245,102,08/05/2018,,,,,
AD_D_R_N_D_07,21/01/2017,22/01/2017,AD,D,R,N,D,7,1.07,0.64,5.32,259,117,08/05/2018,,,,,
AD_D_Y_S_D_07,19/01/2017,20/01/2017,AD,D,Y,S,D,7,0.86,0.67,3.7,241,106.5,08/05/2018,4.03,2.4,4.34,290,132
AD_S_B_N_D_07,18/01/2017,19/01/2017,AD,S,B,N,D,7,0.77,0.67,4.16,209,98,08/05/2018,0.81,0.98,1.29,260,123
AD_S_G_S_D_07,20/01/2017,21/01/2017,AD,S,G,S,D,7,1.05,0.55,4.64,245,101.5,08/05/2018,,,,,
AD_S_N_N_D_07,22/01/2017,23/01/2017,AD,S,N,N,D,7,1.02,0.8,5.25,252,108,08/05/2018,5.04,4.71,8.03,408,196
AD_S_R_S_D_07,18/01/2017,19/01/2017,AD,S,R,S,D,7,1.22,0.55,5.18,221,92,08/05/2018,3.99,3.35,9.01,426,201
AD_S_Y_N_D_07,20/01/2017,21/01/2017,AD,S,Y,N,D,7,1.37,0.62,4.32,248,100,08/05/2018,,,,,
AM_D_B_N_D_07,19/01/2017,20/01/2017,AM,D,B,N,D,7,0.75,0.75,5.43,237,93,08/05/2018,4.05,3.72,13.21,355,166
AM_D_G_S_D_07,21/01/2017,22/01/2017,AM,D,G,S,D,7,0.82,0.69,7.54,258,113.5,08/05/2018,2.5,1.35,15.7,386,180
AM_D_N_N_D_07,23/01/2017,24/01/2017,AM,D,N,N,D,7,1.15,1.07,8.16,251,115.5,08/05/2018,2.48,2.12,18,387,195
AM_D_R_N_D_07,21/01/2017,22/01/2017,AM,D,R,N,D,7,0.72,0.54,5.82,259,110,08/05/2018,1.04,1.01,12.43,365,161
AM_D_Y_N_D_07,19/01/2017,20/01/2017,AM,D,Y,N,D,7,0.71,0.65,5.01,227,98,08/05/2018,1.07,1.07,18.01,490,237
AM_S_B_N_D_07,18/01/2017,19/01/2017,AM,S,B,N,D,7,0.66,0.64,4.98,263,96,08/05/2018,1.47,1.05,9.15,246,137
AM_S_G_N_D_07,20/01/2017,21/01/2017,AM,S,G,N,D,7,0.89,0.72,6.83,250,113,08/05/2018,,,,,
AM_S_N_S_D_07,22/01/2017,23/01/2017,AM,S,N,S,D,7,0.88,0.84,5.15,234,99,08/05/2018,1.71,3.87,17.53,332,155
AM_S_R_N_D_07,18/01/2017,19/01/2017,AM,S,R,N,D,7,0.81,0.73,5.42,292,100,08/05/2018,,,,,
AM_S_Y_N_D_07,20/01/2017,21/01/2017,AM,S,Y,N,D,7,0.96,0.89,7.04,238,109,08/05/2018,1.26,1.26,15.18,421,175
PC_D_B_N_D_07,19/01/2017,20/01/2017,PC,D,B,N,D,7,1.63,1.19,4.85,226,101.5,08/05/2018,6.06,4.82,8.14,310,145
PC_D_G_N_D_07,21/01/2017,22/01/2017,PC,D,G,N,D,7,1.54,1.27,3.88,237,100,08/05/2018,4.79,3.67,7.97,284,131
PC_D_R_S_D_07,23/01/2017,24/01/2017,PC,D,R,S,D,7,2.44,1.8,9.97,273,130,08/05/2018,3.18,2.71,11.33,332,170
PC_D_Y_S_D_07,19/01/2017,20/01/2017,PC,D,Y,S,D,7,1.33,1.31,4.67,231,99,08/05/2018,,,,,
PC_S_B_N_D_07,22/01/2017,23/01/2017,PC,S,B,N,D,7,1.1,0.91,4.95,225,91,08/05/2018,7.06,6.2,5.27,260,126
PC_S_G_N_D_07,18/01/2017,19/01/2017,PC,S,G,N,D,7,1.89,1.62,4.55,229,98,08/05/2018,1.26,1.17,1.41,248,98
PC_S_N_S_D_07,22/01/2017,23/01/2017,PC,S,N,S,D,7,1.68,1.36,6.99,246,108.5,08/05/2018,6.55,5.65,7.21,286,144
PC_S_R_S_D_07,20/01/2017,21/01/2017,PC,S,R,S,D,7,2.42,1.73,6.99,285,119,08/05/2018,4.7,4.38,8.84,360,190
PC_S_Y_N_D_07,22/01/2017,23/01/2017,PC,S,Y,N,D,7,1.09,0.91,3.2,253,102,08/05/2018,6.12,4.53,4.46,294,132
PR_D_B_S_D_07,19/01/2017,20/01/2017,PR,D,B,S,D,7,1.57,1.42,3.34,234,102,08/05/2018,,,,,
PR_D_G_S_D_07,21/01/2017,22/01/2017,PR,D,G,S,D,7,0.79,0.77,6.18,276,115,08/05/2018,3.41,2.71,7.31,320,134
PR_D_R_N_D_07,21/01/2017,22/01/2017,PR,D,R,N,D,7,0.75,0.73,4.02,252,110,08/05/2018,7.58,7,4.91,315,149
PR_D_Y_N_D_07,23/01/2017,24/01/2017,PR,D,Y,N,D,7,1.6,0.93,3.23,242,110.5,08/05/2018,7.39,6.8,4.54,294,131
PR_S_B_S_D_07,20/01/2017,21/01/2017,PR,S,B,S,D,7,0.98,0.84,2.85,240,101.5,08/05/2018,,,,,
PR_S_G_N_D_07,18/01/2017,19/01/2017,PR,S,G,N,D,7,2.46,1.63,2.98,246,108,08/05/2018,7.34,7.18,4.04,322,150
PR_S_N_N_D_07,22/01/2017,23/01/2017,PR,S,N,N,D,7,2.39,2.35,5.74,277,120,08/05/2018,3.78,3.65,4.94,314,139
PR_S_R_S_D_07,20/01/2017,21/01/2017,PR,S,R,S,D,7,1.16,0.9,4.08,232,105,08/05/2018,,,,, 
PR_S_Y_N_D_07,18/01/2017,19/01/2017,PR,S,Y,N,D,7,1.9,0.83,2.18,262,99,08/05/2018,,,,,
AD_D_B_S_D_08,19/01/2017,20/01/2017,AD,D,B,S,D,8,1.18,0.95,4.45,240,105,06/05/2018,3.2,2.77,6.21,373,173
AD_D_G_N_D_08,21/01/2017,22/01/2017,AD,D,G,N,D,8,0.6,0.54,4.34,231,94.5,06/05/2018,3.16,2.54,6.2,325,148
AD_D_R_N_D_08,21/01/2017,22/01/2017,AD,D,R,N,D,8,0.89,0.75,6.46,257,120,06/05/2018,,,,,
AD_D_Y_S_D_08,19/01/2017,20/01/2017,AD,D,Y,S,D,8,0.9,0.74,4.35,220,93,06/05/2018,3.22,2.53,6.49,270,130
AD_S_B_N_D_08,18/01/2017,19/01/2017,AD,S,B,N,D,8,0.79,0.69,3.95,220,95,06/05/2018,1.47,1.04,7.96,240,143
AD_S_G_S_D_08,20/01/2017,21/01/2017,AD,S,G,S,D,8,0.89,0.87,0.87,248,105,06/05/2018,3.03,2.3,7.42,394,191
AD_S_N_N_D_08,22/01/2017,23/01/2017,AD,S,N,N,D,8,0.99,0.55,5.8,258,108,06/05/2018,5.06,4.43,6.33,390,180
AD_S_R_N_D_08,18/01/2017,19/01/2017,AD,S,R,N,D,8,0.92,0.69,5.14,285,103,06/05/2018,,,,,
AD_S_Y_N_D_08,20/01/2017,21/01/2017,AD,S,Y,N,D,8,0.78,0.64,3.78,230,100,06/05/2018,2.01,1.04,6.06,318,148
AM_D_B_S_D_08,19/01/2017,20/01/2017,AM,D,B,S,D,8,0.78,0.77,4.99,241,102,06/05/2018,3.05,2.85,19.26,428,
AM_D_G_N_D_08,21/01/2017,22/01/2017,AM,D,G,N,D,8,0.68,0.54,5.633,244,,06/05/2018,4.24,3.64,18.46,548,258
AM_D_N_S_D_08,23/01/2017,24/01/2017,AM,D,N,S,D,8,1.71,1.37,10.05,270,115,06/05/2018,1.3,1.19,18,406,180
AM_D_R_S_D_08,21/01/2017,22/01/2017,AM,D,R,S,D,8,0.75,0.57,4.18,249,95,06/05/2018,1.46,0.98,12.21,317,157
AM_D_Y_N_D_08,19/01/2017,20/01/2017,AM,D,Y,N,D,8,0.73,0.72,6.85,227,109,06/05/2018,1.78,1.58,20.6,408,188
AM_S_B_N_D_08,18/01/2017,19/01/2017,AM,S,B,N,D,8,0.81,0.77,4.37,269,95,06/05/2018,6.14,5.35,5.24,312,101
AM_S_N_N_D_08,22/01/2017,23/01/2017,AM,S,N,N,D,8,1.03,0.83,8.35,252,107,06/05/2018,,,,,
AM_S_R_S_D_08,18/01/2017,19/01/2017,AM,S,R,S,D,8,0.74,0.67,5.45,223,91,06/05/2018,1,1.16,9.66,258,117
AM_S_G_N_D_08,20/01/2017,21/01/2017,AM,S,G,N,D,8,0.6,0.61,5.43,241,105,06/05/2018,0.88,0.88,9.77,276,148
AM_S_Y_N_D_08,20/01/2017,21/01/2017,AM,S,Y,N,D,8,0.78,0.67,6.36,231,99,06/05/2018,1.86,1.47,12.89,321,150
PC_D_B_N_D_08,19/01/2017,20/01/2017,PC,D,B,N,D,8,1.35,1.01,4.11,234,99,06/05/2018,2.44,1.75,7.27,262,117
PC_D_G_N_D_08,21/01/2017,22/01/2017,PC,D,G,N,D,8,0.95,0.9,3.74,252,105,06/05/2018,5.49,4.52,6.43,296,147
PC_D_R_N_D_08,23/01/2017,24/01/2017,PC,D,R,N,D,8,1.92,1.83,5.61,253,110,06/05/2018,4.07,3.3,7.43,201,144
PC_D_Y_N_D_08,19/01/2017,20/01/2017,PC,D,Y,N,D,8,1.2,0.91,4.32,246,104,06/05/2018,4.6,3.52,7.73,289,145
PC_S_B_N_D_08,22/01/2017,23/01/2017,PC,S,B,N,D,8,1.16,1.14,4.21,252,99,06/05/2018,6.5,5.31,4.91,285,132
PC_S_G_S_D_08,18/01/2017,19/01/2017,PC,S,G,S,D,8,2.38,1.86,3.43,237,101,06/05/2018,,,,,
PC_S_N_S_D_08,22/01/2017,23/01/2017,PC,S,N,S,D,8,1.4,1.18,6.08,243,112,06/05/2018,6.45,6.02,6.57,276,125
PC_S_R_N_D_08,20/01/2017,21/01/2017,PC,S,R,N,D,8,1.74,1.28,5.64,252,99,06/05/2018,6.6,4.83,9.1,322,155
PC_S_Y_N_D_08,22/01/2017,23/01/2017,PC,S,Y,N,D,8,1.88,1.44,7.48,267,119,06/05/2018,4.1,2.52,9.71,349,189
PR_D_B_N_D_08,19/01/2017,20/01/2017,PR,D,B,N,D,8,2.92,1.258,2.29,239,99,06/05/2018,7.61,5.56,3.33,283,129
PR_D_G_N_D_08,21/01/2017,22/01/2017,PR,D,G,N,D,8,0.76,0.75,3.91,221,90.5,06/05/2018,7.55,4.33,4.87,278,124
PR_D_R_S_D_08,21/01/2017,22/01/2017,PR,D,R,S,D,8,3.29,3.15,5.77,275,127,06/05/2018,6.15,4.09,7.3,389,220
PR_D_Y_S_D_08,23/01/2017,24/01/2017,PR,D,Y,S,D,8,2.75,2.52,7.64,291,127.5,06/05/2018,7.96,7082,6.75,375,169
PR_S_B_S_D_08,20/01/2017,21/01/2017,PR,S,B,S,D,8,1.54,0.98,4.11,236,101,06/05/2018,4.74,4.1,5.9,296,138
PR_S_G_N_D_08,18/01/2017,19/01/2017,PR,S,G,N,D,8,1.34,0.8,2.42,218,95,06/05/2018,7.72,5.85,3.74,268,129
PR_S_N_S_D_08,22/01/2017,23/01/2017,PR,S,N,S,D,8,1.73,1.46,3.5,247,106,06/05/2018,4.98,4.48,5.42,294,131
PR_S_R_N_D_08,20/01/2017,21/01/2017,PR,S,R,N,D,8,1.61,1.27,4.12,236,105,06/05/2018,4.25,2.88,4.32,268,119
PR_S_Y_S_D_08,18/01/2017,19/01/2017,PR,S,Y,S,D,8,1.21,1,3.92,205,88.5,06/05/2018,,,,,
AD_D_B_S_S_09,19/01/2017,20/01/2017,AD,D,B,S,S,9,1.14,1.12,3.79,250,104,09/05/2018,,,,,
AD_D_G_N_S_09,21/01/2017,22/01/2017,AD,D,G,N,S,9,0.73,0.59,5.58,240,104,09/05/2018,2.31,2.36,5.58,279,129
AD_D_R_S_S_09,21/01/2017,22/01/2017,AD,D,R,S,S,9,1.09,0.67,5.12,236,95,09/05/2018,,,,,
AD_D_Y_S_S_09,19/01/2017,20/01/2017,AD,D,Y,S,S,9,0.84,0.79,4.86,221,95,09/05/2018,,,,,
AD_S_B_N_S_09,18/01/2017,19/01/2017,AD,S,B,N,S,9,0.74,0.66,4.03,278,96,09/05/2018,,,,,
AD_S_G_N_S_09,20/01/2017,21/01/2017,AD,S,G,N,S,9,0.82,0.66,0.66,245,93,09/05/2018,,,,,
AD_S_N_N_S_09,22/01/2017,23/01/2017,AD,S,N,N,S,9,0.87,0.77,6.76,254,110,09/05/2018,,,,,
AD_S_R_N_S_09,18/01/2017,19/01/2017,AD,S,R,N,S,9,0.96,0.76,4.61,275,95,09/05/2018,,,,,
AD_S_Y_S_S_09,20/01/2017,21/01/2017,AD,S,Y,S,S,9,0.88,0.69,3.96,241,103,09/05/2018,,,,,
AM_D_B_N_S_09,19/01/2017,20/01/2017,AM,D,B,N,S,9,0.9,0.72,4.77,236,102,09/05/2018,,,,,
AM_D_G_N_S_09,21/01/2017,22/01/2017,AM,D,G,N,S,9,0.5,0.54,4.54,246,99,09/05/2018,,,,,
AM_D_N_S_S_09,23/01/2017,24/01/2017,AM,D,N,S,S,9,1.08,1.05,7.02,249,104,09/05/2018,,,,,
AM_D_R_S_S_09,21/01/2017,22/01/2017,AM,D,R,S,S,9,0.59,0.59,6.5,250,109,09/05/2018,,,,,
AM_D_Y_N_S_09,19/01/2017,20/01/2017,AM,D,Y,N,S,9,0.57,0.57,5.18,246,107,09/05/2018,,,,,
AM_S_B_N_S_09,18/01/2017,19/01/2017,AM,S,B,N,S,9,0.61,0.63,4.86,269,100,09/05/2018,,,,,
AM_S_G_S_S_09,20/01/2017,21/01/2017,AM,S,G,S,S,9,0.75,0.78,6.34,238,100,09/05/2018,,,,,
AM_S_N_N_S_09,22/01/2017,23/01/2017,AM,S,N,N,S,9,0.92,0.78,7.17,242,93,09/05/2018,,,,,
AM_S_R_S_S_09,18/01/2017,19/01/2017,AM,S,R,S,S,9,0.61,0.5,4.17,221,91.5,09/05/2018,,,,,
AM_S_Y_N_S_09,20/01/2017,21/01/2017,AM,S,Y,N,S,9,0.82,0.8,5.13,243,103,09/05/2018,,,,,
PC_D_B_S_S_09,19/01/2017,20/01/2017,PC,D,B,S,S,9,1.04,0.98,4.26,221,95,09/05/2018,,,,,
PC_D_G_N_S_09,21/01/2017,22/01/2017,PC,D,G,N,S,9,1.17,1.04,3.93,245,97.5,09/05/2018,2.41,2.24,3.08,277,120
PC_D_R_N_S_09,23/01/2017,24/01/2017,PC,D,R,N,S,9,3.06,2.25,2.58,248,104,09/05/2018,4.02,3.44,3.27,298,144
PC_D_Y_N_S_09,19/01/2017,20/01/2017,PC,D,Y,N,S,9,1.17,1.1,5.98,240,102.5,09/05/2018,,,,,
PC_S_B_S_S_09,22/01/2017,23/01/2017,PC,S,B,S,S,9,1.49,1.31,3.99,275,120,09/05/2018,4.03,1.86,5.75,306,144
PC_S_G_N_S_09,18/01/2017,19/01/2017,PC,S,G,N,S,9,1.17,1.05,2.82,218,92,09/05/2018,,,,,
PC_S_N_S_S_09,22/01/2017,23/01/2017,PC,S,N,S,S,9,1.13,1.02,4.57,245,105,09/05/2018,2.53,1.63,3,259,113
PC_S_R_N_S_09,20/01/2017,21/01/2017,PC,S,R,N,S,9,2.03,1.52,7.28,263,113,09/05/2018,2.71,2.1,5.24,293,128
PC_S_Y_N_S_09,22/01/2017,23/01/2017,PC,S,Y,N,S,9,1.68,1.48,6.79,243,114.5,09/05/2018,4.01,4.01,8.22,314,149
PR_D_B_S_S_09,19/01/2017,20/01/2017,PR,D,B,S,S,9,1.83,1.02,3.4,227,96,09/05/2018,,,,,
PR_D_G_N_S_09,21/01/2017,22/01/2017,PR,D,G,N,S,9,1.85,1.45,6.7,236,103,09/05/2018,4.64,4.23,9.22,366,203
PR_D_R_N_S_09,21/01/2017,22/01/2017,PR,D,R,N,S,9,1.32,1.3,3.49,244,104,09/05/2018,,,,,
PR_D_Y_S_S_09,23/01/2017,24/01/2017,PR,D,Y,S,S,9,1.25,1.1,6.52,263,120,09/05/2018,6.48,4.31,5.01,346,164
PR_S_B_N_S_09,20/01/2017,21/01/2017,PR,S,B,N,S,9,1.28,1.19,6.52,230,105,09/05/2018,,,,,
PR_S_G_S_S_09,18/01/2017,19/01/2017,PR,S,G,S,S,9,3.05,1.45,2.89,238,99.5,09/05/2018,,,,,
PR_S_N_N_S_09,22/01/2017,23/01/2017,PR,S,N,N,S,9,2.28,1.75,2.81,263,112,09/05/2018,2.86,1.94,5.16,291,127
PR_S_R_S_S_09,20/01/2017,21/01/2017,PR,S,R,S,S,9,2.07,1.28,3.53,250,104,09/05/2018,,,,,
PR_S_Y_N_S_09,18/01/2017,19/01/2017,PR,S,Y,N,S,9,1.88,1.21,5.37,284,110,09/05/2018,,,,,
AD_D_B_S_D_10,19/01/2017,20/01/2017,AD,D,B,S,D,10,1.18,1.09,4.56,225,99,,2.1,1.06,8.26,300,123
AD_D_G_N_D_10,21/01/2017,22/01/2017,AD,D,G,N,D,10,0.73,0.64,4.97,261,118,,3.65,3.24,8.47,346,159
AD_D_R_N_D_10,21/01/2017,22/01/2017,AD,D,R,N,D,10,0.83,0.68,4.93,250,116,,1.53,1.35,5.86,322,150
AD_D_Y_N_D_10,19/01/2017,20/01/2017,AD,D,Y,N,D,10,1.07,0.9,6.82,234,105,,3.63,3.3,7.68,317,145
AD_S_B_N_D_10,18/01/2017,19/01/2017,AD,S,B,N,D,10,0.74,0.71,4.66,231,103,,4.36,3.89,7.77,349,155
AD_S_G_N_D_10,20/01/2017,21/01/2017,AD,S,G,N,D,10,0.88,0.74,0.74,237,95.5,,,,,,
AD_S_N_N_D_10,22/01/2017,23/01/2017,AD,S,N,N,D,10,0.96,0.77,8.3,260,107,,4.91,4.01,9.52,490,216
AD_S_R_N_D_10,18/01/2017,19/01/2017,AD,S,R,N,D,10,0.9,0.64,3.82,274,99,,,,,,
AD_S_Y_S_D_10,20/01/2017,21/01/2017,AD,S,Y,S,D,10,1.03,0.82,7.18,258,109,,1.99,1.45,6.74,349,175
AM_D_B_N_D_10,19/01/2017,20/01/2017,AM,D,B,N,D,10,0.93,0.8,5.4,236,99,,2.88,1.18,12,310,145
AM_D_G_N_D_10,21/01/2017,22/01/2017,AM,D,G,N,D,10,0.8,0.64,7.45,246,108,,4.4,3.76,16.85,400,190
AM_D_N_N_D_10,23/01/2017,24/01/2017,AM,D,N,N,D,10,0.99,0.91,5.24,229,92.5,,3.33,2.75,17.93,302,176
AM_D_R_S_D_10,21/01/2017,22/01/2017,AM,D,R,S,D,10,0.75,0.58,6.54,257,108.5,,1.26,0.98,16.3,562,216
AM_D_Y_N_D_10,19/01/2017,20/01/2017,AM,D,Y,N,D,10,0.59,0.44,3.65,241,102,,1.77,1.11,17.5,359,163
AM_S_B_S_D_10,18/01/2017,19/01/2017,AM,S,B,S,D,10,0.79,0.75,4.26,204,94,,,,,,
AM_S_N_N_D_10,22/01/2017,23/01/2017,AM,S,N,N,D,10,0.79,0.92,6.8,264,120,,0.67,0.69,9.51,273,120
AM_S_R_S_D_10,18/01/2017,19/01/2017,AM,S,R,S,D,10,0.82,0.64,4.96,221,89,,1.19,1.01,15.37,364,158
AM_S_G_S_D_10,20/01/2017,21/01/2017,AM,S,G,S,D,10,0.78,0.65,5.33,236,94,,,,,,
AM_S_Y_N_D_10,20/01/2017,21/01/2017,AM,S,Y,N,D,10,1,0.91,4.3,232,94,,0.93,0.99,7.78,277,147
PC_D_B_S_D_10,19/01/2017,20/01/2017,PC,D,B,S,D,10,1.12,1.12,4.93,240,98,,2.94,2.66,7.18,285,129
PC_D_G_N_D_10,21/01/2017,22/01/2017,PC,D,G,N,D,10,1.66,1.01,6.73,260,104,,6.18,5.15,9.92,337,161
PC_D_R_S_D_10,23/01/2017,24/01/2017,PC,D,R,S,D,10,1.22,1.16,4.15,256,111.5,,4.24,3.12,5.82,291,130
PC_D_Y_N_D_10,19/01/2017,20/01/2017,PC,D,Y,N,D,10,1.15,1.12,5.3,226,92,,4.26,3.33,7.01,265,125
PC_S_B_N_D_10,22/01/2017,23/01/2017,PC,S,B,N,D,10,2.22,1.19,6.74,258,108,,6.86,5.21,9.79,306,156
PC_S_G_N_D_10,18/01/2017,19/01/2017,PC,S,G,N,D,10,1.53,1.2,1.98,215,95,,,,,,
PC_S_N_N_D_10,22/01/2017,23/01/2017,PC,S,N,N,D,10,1.62,1.1,6.72,262,115,,3.2,1.97,9.53,301,154
PC_S_R_N_D_10,20/01/2017,21/01/2017,PC,S,R,N,D,10,1.77,1.2,3.37,246,104.5,,3.07,2.18,3.95,271,119
PC_S_Y_S_D_10,22/01/2017,23/01/2017,PC,S,Y,S,D,10,1.85,1.71,8.85,260,113,,1.89,1.82,8.98,294,141
PR_D_B_S_D_10,19/01/2017,20/01/2017,PR,D,B,S,D,10,2.13,1.66,4.93,246,108,,7.6,6.87,5.81,309,141
PR_D_G_N_D_10,21/01/2017,22/01/2017,PR,D,G,N,D,10,0.45,0.45,2.28,215,97,,8.13,5.43,3.55,262,124
PR_D_R_S_D_10,21/01/2017,22/01/2017,PR,D,R,S,D,10,1.71,1.04,3.38,240,99,,7.72,6.08,3.4,285,140
PR_D_Y_N_D_10,23/01/2017,24/01/2017,PR,D,Y,N,D,10,1.31,1.12,3.99,255,115,,8.89,8.08,4.59,334,154
PR_S_B_N_D_10,20/01/2017,21/01/2017,PR,S,B,N,D,10,1.46,1.28,5.02,254,105,,6.57,4.94,5.49,322,144
PR_S_G_S_D_10,18/01/2017,19/01/2017,PR,S,G,S,D,10,1.63,0.78,2.11,220,93,,8.02,7.53,3.12,284,128
PR_S_N_S_D_10,22/01/2017,23/01/2017,PR,S,N,S,D,10,2.49,1.25,4,260,115.5,,5.52,3.98,4.12,315,151
PR_S_R_S_D_10,20/01/2017,21/01/2017,PR,S,R,S,D,10,2.56,1.32,4.65,264,112,,,,,,
PR_S_Y_N_D_10,18/01/2017,19/01/2017,PR,S,Y,N,D,10,1.78,1.31,4.85,288,101,,5.12,4.98,7.29,295,136
